deal_rk,deal_num,deal_name,deal_sum,client_rk,account_rk,agreement_rk,deal_start_date,department_rk,product_rk,deal_type_cd,effective_from_date,effective_to_date
4189029,994-104-918-804-865,Кредит наличными,3228815,395547,3292840,795791,2022-03-20,26,1873610,1,2023-03-15,2999-12-31
7700939,739-812-131-638-234,Ипотека,5679909,487064,3368287,828630,2020-03-30,116,1086698,5,2023-03-15,2999-12-31
2604789,172-663-287-135-441,Автокредит,1482620,102820,3988717,940114,2020-09-26,47,1695036,3,2023-03-15,2999-12-31
7705796,966-265-849-159-506,Ипотека,5107818,209631,3144428,804160,2020-09-26,113,1883337,5,2023-03-15,2999-12-31
3328589,169-358-989-173-965,Ипотека,1691657,364587,3661574,943482,2022-03-20,82,1695606,6,2023-03-15,2999-12-31
2325975,785-441-629-420-624,Кредит наличными со страховкой,4053614,249526,3695382,868028,2020-09-26,49,1879964,3,2023-03-15,2999-12-31
4887813,441-787-274-798-659,Кредит наличными,4947522,399547,3486486,943131,2020-09-26,114,1121277,1,2023-03-15,2999-12-31
5381242,114-519-301-332-996,Ипотека,5547836,284121,3948597,906629,2020-09-26,19,1037149,2,2023-03-15,2999-12-31
3319860,264-558-546-622-412,Автокредит,1804193,172775,3727870,986823,2021-09-21,74,1715904,6,2023-03-15,2999-12-31
7779297,323-243-530-933-306,Кредит наличными со страховкой,1781376,480996,3849293,736090,2020-03-30,36,1163734,5,2023-03-15,2999-12-31
4795400,383-454-505-505-695,Автокредит,1122239,220153,3247168,991389,2021-03-25,95,1700410,1,2023-03-15,2999-12-31
5498718,452-873-356-186-566,Кредит наличными,1352987,237983,3577844,506785,2022-03-20,123,1563245,2,2023-03-15,2999-12-31
6720823,347-132-457-297-192,Кредит наличными,937280,197871,3933832,596147,2020-09-26,86,1553154,8,2023-03-15,2999-12-31
4907724,757-182-661-789-897,Ипотека,2812718,206046,3686101,900662,2020-03-30,67,1124507,1,2023-03-15,2999-12-31
8352937,816-493-659-355-764,Ипотека,5388585,286951,3515029,535895,2021-09-21,63,1269036,4,2023-03-15,2999-12-31
7235115,715-674-805-215-649,Кредит наличными,4965813,389865,3481993,524859,2021-03-25,43,1697117,5,2023-03-15,2999-12-31
5107221,677-354-878-989-512,Кредит наличными со страховкой,4587737,472654,3729000,593760,2021-03-25,102,1868716,2,2023-03-15,2999-12-31
