product_rk,product_name,effective_from_date,effective_to_date
1394715,Кредит наличными,2023-01-01,2999-12-31
1319723,Ипотека,2023-01-01,2999-12-31
1099892,Ипотека,2023-01-01,2999-12-31
1675148,Кредит наличными,2023-01-01,2999-12-31
1621281,Ипотека,2023-01-01,2999-12-31
1501933,Ипотека,2023-01-01,2999-12-31
1352301,Ипотека,2023-01-01,2999-12-31
1130070,Кредит наличными,2023-01-01,2999-12-31
1777525,Кредит наличными со страховкой,2023-01-01,2999-12-31
1625188,Ипотека,2023-01-01,2999-12-31
1472977,Кредит наличными,2023-01-01,2999-12-31
1673870,Автокредит,2023-01-01,2999-12-31
1180567,Автокредит,2023-01-01,2999-12-31
1771664,Кредит наличными,2023-01-01,2999-12-31
1158017,Автокредит,2023-01-01,2999-12-31
1824781,Автокредит,2023-01-01,2999-12-31
1107822,Автокредит,2023-01-01,2999-12-31
1972953,Кредит наличными,2023-01-01,2999-12-31
1629976,Ипотека,2023-01-01,2999-12-31
1851268,Кредит наличными со страховкой,2023-01-01,2999-12-31
1678036,Автокредит,2023-01-01,2999-12-31
1872835,Кредит наличными,2023-01-01,2999-12-31
1395619,Кредит наличными со страховкой,2023-01-01,2999-12-31
1030104,Кредит наличными со страховкой,2023-01-01,2999-12-31
1402350,Ипотека,2023-01-01,2999-12-31
1816970,Кредит наличными,2023-01-01,2999-12-31
1187918,Автокредит,2023-01-01,2999-12-31
1599801,Автокредит,2023-01-01,2999-12-31
1183424,Ипотека,2023-01-01,2999-12-31
1352420,Ипотека,2023-01-01,2999-12-31
1210127,Кредит наличными,2023-01-01,2999-12-31
1982316,Ипотека,2023-01-01,2999-12-31
1457013,Кредит наличными,2023-01-01,2999-12-31
1686580,Кредит наличными,2023-01-01,2999-12-31
1081706,Ипотека,2023-01-01,2999-12-31
1279892,Кредит наличными,2023-01-01,2999-12-31
1628288,Кредит наличными со страховкой,2023-01-01,2999-12-31
1722188,Ипотека,2023-01-01,2999-12-31
1594218,Кредит наличными со страховкой,2023-01-01,2999-12-31
1892158,Кредит наличными со страховкой,2023-01-01,2999-12-31
1650844,Ипотека,2023-01-01,2999-12-31
1256656,Кредит наличными,2023-01-01,2999-12-31
1063062,Автокредит,2023-01-01,2999-12-31
1186153,Автокредит,2023-01-01,2999-12-31
1774773,Автокредит,2023-01-01,2999-12-31
1538892,Кредит наличными со страховкой,2023-01-01,2999-12-31
1586118,Автокредит,2023-01-01,2999-12-31
1227471,Кредит наличными,2023-01-01,2999-12-31
1231822,Автокредит,2023-01-01,2999-12-31
1532718,Кредит наличными со страховкой,2023-01-01,2999-12-31
1155116,Кредит наличными,2023-01-01,2999-12-31
1826133,Автокредит,2023-01-01,2999-12-31
1412645,Кредит наличными со страховкой,2023-01-01,2999-12-31
1465364,Кредит наличными со страховкой,2023-01-01,2999-12-31
1840293,Кредит наличными со страховкой,2023-01-01,2999-12-31
1115747,Ипотека,2023-01-01,2999-12-31
1001514,Автокредит,2023-01-01,2999-12-31
1233329,Кредит наличными,2023-01-01,2999-12-31
